"TIME","NOTIFIED_IMPORT_COMM_EXPOSURE","NOTIFIED_IMPORT_ISOLATED","SPLINE"
260,0,7,0.0298393128824798
261,0,6,0.0376926853160783
262,0,6,0.0469650978600492
263,0,9,0.0576939007651106
264,0,3,0.0698475432422292
265,0,3,0.0833129296611771
266,0,7,0.0978882091557944
267,0,11,0.113282911885825
268,0,0,0.129126596262661
269,2,10,0.144986107199629
270,0,3,0.160390328446801
271,0,7,0.174860168736236
272,0,2,0.18794066909063
273,0,7,0.199231737850094
274,0,0,0.208414181093828
275,0,3,0.215268370839907
276,0,3,0.219683942373021
277,0,3,0.221660127357592
278,0,4,0.221297498496197
279,0,3,0.218782831558221
280,0,9,0.214369365255414
281,0,4,0.20835492212745
282,0,9,0.201060184673172
283,0,14,0.192808990429707
284,0,6,0.183911934396852
285,0,10,0.174653965154105
286,0,7,0.165286114019375
287,0,4,0.156021072790442
288,0,1,0.147032048875548
289,1,8,0.138454182549896
290,0,7,0.130387780481658
291,0,2,0.122902673780844
292,1,13,0.11604311709149
293,0,3,0.109832772966974
294,0,4,0.104279459028126
295,0,3,0.0993794511474847
296,0,7,0.0951212352472564
297,0,4,0.0914886714864244
298,0,6,0.0884635882691991
299,1,3,0.0860278531545344
300,0,6,0.0841649855355613
301,0,3,0.0828613798513535
302,0,6,0.0821072049283355
303,0,5,0.0818970360937975
304,0,25,0.0822302645726109
305,1,5,0.0831113151056179
306,0,7,0.0845496877425343
307,0,4,0.0865598250999378
308,0,2,0.0891607915235116
309,0,4,0.092375737186813
310,0,5,0.0962311069813811
311,1,10,0.10075554365682
312,0,3,0.105978427639046
313,0,4,0.111927992873318
314,1,4,0.118628963098812
315,0,3,0.126099666358944
316,0,10,0.134348611722558
317,0,8,0.143370551892472
318,0,18,0.153142111867631
319,0,6,0.163617135408253
320,0,1,0.174721987635762
321,0,4,0.186351145032701
322,2,5,0.198363497928766
323,1,4,0.21057986854648
324,0,7,0.222782294740599
325,0,6,0.234715626380731
326,0,6,0.246091910881382
327,0,7,0.256597893554222
328,0,3,0.265905722077704
329,0,4,0.273686635041264
330,0,14,0.279627053449238
331,0,8,0.283446124434905
332,0,9,0.284913440037642
333,1,3,0.28386542844022
334,0,12,0.280218843523427
335,0,3,0.273979895555173
336,0,4,0.265247882947251
337,0,15,0.254212672711387
338,0,3,0.241145991062627
339,0,17,0.226387127259302
340,0,19,0.210324250339097
341,0,15,0.193372984696779
342,0,15,0.175954136191586
343,0,1,0.15847246434675
344,0,9,0.141298173892534
345,0,31,0.124752393218963
346,0,15,0.10909738893996
347,0,21,0.0945317177428177
348,0,9,0.0811900158505714
349,1,5,0.0691467322555803
350,0,5,0.0584228589616534
351,0,42,0.0489946081998678
352,0,23,0.0408030155922122
353,0,23,0.0337635801406719
354,0,12,0.0277752470040695
355,0,0,0.0227282580207972
356,0,1,0.0185106077557182
357,1,2,0.0150130251396649
358,0,1,0.0121325410523279
359,0,1,0.00977479700691617
360,0,2,0.00785530255717023
361,0,5,0.00629986688040798
362,0,3,0.0050444222009766
363,0,4,0.00403443283979167
364,0,1,0.00322405098631118
365,0,0,0.00257514550938807
366,0,0,0.00205629688092288
367,0,0,0.00164182233302791
