DATE,PROB
5/15/2020,0.069865239
5/16/2020,0.072063462
5/17/2020,0.070988244
5/18/2020,0.067165249
5/19/2020,0.070582051
5/20/2020,0.073425404
5/21/2020,0.073353723
5/22/2020,0.073712128
5/23/2020,0.074118322
5/24/2020,0.091082863
5/25/2020,0.095407627
5/26/2020,0.093615598
5/27/2020,0.065803307
5/28/2020,0.004611488
5/29/2020,0.004205295
